eval_id,score,pass,chat
S01,90,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S01.html
S02,94,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S02.html
S03,88,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S03.html
S04,80,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S04.html
S05,100,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S05.html
S06,92,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S06.html
S07,96,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S07.html
S08,94,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S08.html
S09,96,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S09.html
S10,100,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S10.html
S11,94,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S11.html
S12,92,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S12.html
S13,50,False,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S13.html
S14,96,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S14.html
S15,100,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S15.html
S16,94,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S16.html
S17,96,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S17.html
S18,60,False,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S18.html
S19,96,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S19.html
S20,100,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S20.html
S21,94,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S21.html
S22,96,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S22.html
S23,76,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S23.html
S24,96,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S24.html
S25,100,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S25.html
S26,94,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S26.html
S27,96,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S27.html
S28,90,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S28.html
S29,85,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S29.html
S30,100,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S30.html
S31,92,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S31.html
S32,94,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S32.html
S33,36,False,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S33.html
S34,96,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S34.html
S35,100,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S35.html
S36,94,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S36.html
S37,94,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S37.html
S38,82,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S38.html
S39,80,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S39.html
S40,100,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S40.html
S41,92,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S41.html
S42,96,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S42.html
S43,75,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S43.html
S44,90,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S44.html
S45,100,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S45.html
S46,84,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S46.html
S47,92,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S47.html
S48,82,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S48.html
S49,96,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S49.html
S50,100,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250919-090045/report/chat/S50.html
